users_program,user_id,zip,membership_type,bike,checkout_date,checkout_time,checkout_kiosk,return_date,return_time,return_kiosk,duration_minutes
16577,Denver B-cycle,623752,80204.0,Annual (Denver B-cycle),477,11/19/15,8:26:00 AM,9th & Santa Fe,11/19/15,8:29:00 AM,10th & Osage,3
16615,Denver B-cycle,417348,80218.0,Annual Plus (Denver B-cycle),53,11/19/15,7:56:00 AM,17th & Franklin,11/19/15,8:19:00 AM,16th & Broadway,23
17479,Denver B-cycle,937409,80218.0,30-day Renewing (Denver B-cycle),527,11/17/15,8:08:00 PM,16th & Broadway,11/17/15,8:18:00 PM,11th & Emerson,10
17773,Denver B-cycle,583478,80209.0,Annual (Denver B-cycle),90,11/17/15,1:35:00 PM,Denver Public Library,11/17/15,1:40:00 PM,15th & Cleveland,5
17795,Denver B-cycle,1003055,80206.0,30-day Renewing (Denver B-cycle),103,11/17/15,1:02:00 PM,1550 Glenarm,11/17/15,1:09:00 PM,13th & Speer,7
18308,Denver B-cycle,761253,80211.0,Annual Plus (Denver B-cycle),815,11/16/15,8:49:00 AM,29th & Zuni,11/16/15,8:57:00 AM,17th & Larimer,8
18509,Denver B-cycle,887321,80204.0,Annual Plus (Denver B-cycle),682,11/16/15,6:31:00 AM,Five Points,11/16/15,6:49:00 AM,14th & Elati,18
18893,Denver B-cycle,799278,80209.0,Annual Plus (Denver B-cycle),118,11/15/15,1:22:00 PM,3rd & Milwaukee,11/15/15,1:27:00 PM,Ellsworth & Madison,5
20027,Denver B-cycle,1029225,11231.0,24-hour Kiosk Only (Denver B-cycle),723,11/14/15,10:21:00 AM,Broadway & Walnut,11/14/15,11:48:00 AM,32nd & Pecos,87
20129,Denver B-cycle,405013,80223.0,Annual (Denver B-cycle),16,11/13/15,8:48:00 PM,14th & Welton,11/13/15,8:52:00 PM,16th & Broadway,4
21900,Denver B-cycle,439411,80203.0,Annual (Denver B-cycle),199,11/11/15,8:48:00 PM,13th & Speer,11/11/15,8:55:00 PM,17th & Pearl,7
22002,Denver B-cycle,44288,80218.0,Annual (Denver B-cycle),196,11/11/15,5:36:00 PM,9th & Downing,11/11/15,5:55:00 PM,1550 Glenarm,19
22427,Denver B-cycle,975403,80204.0,Annual Plus (Denver B-cycle),266,11/10/15,8:49:00 PM,Decatur Federal Light Rail,11/10/15,9:37:00 PM,15th & Curtis,48
22676,Denver B-cycle,119507,80218.0,Annual (Denver B-cycle),486,11/10/15,4:47:00 PM,13th & Speer,11/10/15,4:56:00 PM,14th & Stout,9
23123,Denver B-cycle,70620,80204.0,Annual (Denver B-cycle),271,11/10/15,10:35:00 AM,Louisiana & Franklin,11/10/15,11:10:00 AM,Louisiana & Franklin,35
23337,Denver B-cycle,821587,80211.0,Annual (Denver B-cycle),240,11/10/15,7:38:00 AM,32nd & Pecos,11/10/15,7:50:00 AM,1550 Glenarm,12
23915,Denver B-cycle,1024814,1810.0,24-hour Kiosk Only (Denver B-cycle),22,11/9/15,2:28:00 PM,15th & Cleveland,11/9/15,2:31:00 PM,16th & Sherman,3
23976,Denver B-cycle,360079,80202.0,Annual (Denver B-cycle),416,11/9/15,1:15:00 PM,16th & Little Raven,11/9/15,1:19:00 PM,20th & Chestnut,4
24298,Denver B-cycle,1017625,80210.0,Annual (Denver B-cycle),563,11/9/15,7:57:00 AM,Bayaud & Emerson,11/9/15,8:15:00 AM,9th & Curtis,18
24479,Denver B-cycle,1026046,90242.0,24-hour Kiosk Only (Denver B-cycle),387,11/8/15,6:40:00 PM,REI,11/8/15,6:52:00 PM,Union Station Light Rail at 17th,12
24824,Denver B-cycle,715810,80211.0,Annual (Denver B-cycle),482,11/8/15,1:35:00 PM,23rd & Clay,11/8/15,1:48:00 PM,15th & Delgany,13
25516,Denver B-cycle,1024985,98926.0,24-hour Kiosk Only (Denver B-cycle),213,11/7/15,2:25:00 PM,1350 Larimer,11/7/15,2:54:00 PM,1350 Larimer,29
25972,Denver B-cycle,320667,80218.0,Annual (Denver B-cycle),635,11/6/15,5:16:00 PM,28th & Larimer,11/6/15,5:32:00 PM,18th & Arapahoe,16
27238,Denver B-cycle,424590,80234.0,Annual (Denver B-cycle),311,11/5/15,9:33:00 AM,14th & Welton,11/5/15,9:35:00 AM,Webb Building,2
28526,Denver B-cycle,546945,80014.0,Annual (Denver B-cycle),527,11/3/15,5:31:00 PM,16th & Broadway,11/3/15,5:37:00 PM,1551 Lafayette,6
28745,Denver B-cycle,1021751,80211.0,Annual (Denver B-cycle),763,11/3/15,4:04:00 PM,15th & Delgany,11/3/15,4:16:00 PM,32nd & Clay,12
29771,Denver B-cycle,320583,80215.0,Annual (Denver B-cycle),662,11/2/15,4:19:00 PM,18th & California,11/2/15,4:25:00 PM,Union Station Light Rail at 17th,6
30038,Denver B-cycle,945236,80218.0,Annual (Denver B-cycle),15,11/2/15,12:47:00 PM,9th & Downing,11/2/15,1:03:00 PM,9th & Curtis,16
31012,Denver B-cycle,1020469,87501.0,24-hour Kiosk Only (Denver B-cycle),568,11/1/15,3:17:00 PM,REI,11/1/15,3:23:00 PM,1350 Larimer,6
31084,Denver B-cycle,13462,80211.0,Annual (Denver B-cycle),865,11/1/15,2:45:00 PM,16th & Sherman,11/1/15,2:56:00 PM,16th & Platte,11
31242,Denver B-cycle,1020873,78414.0,24-hour Kiosk Only (Denver B-cycle),520,11/1/15,1:19:00 PM,20th & Chestnut,11/1/15,2:07:00 PM,18th & California,48
31250,Denver B-cycle,1020851,33131.0,24-hour Kiosk Only (Denver B-cycle),453,11/1/15,1:13:00 PM,16th & Broadway,11/1/15,1:43:00 PM,Denver Public Library,30
