users_program,user_id,zip,membership_type,bike,checkout_date,checkout_time,checkout_kiosk,return_date,return_time,return_kiosk,duration_minutes
61215,Denver B-cycle,990985,64108.0,24-hour Kiosk Only (Denver B-cycle),561,10/5/15,11:05:00 AM,Market Street Station,10/5/15,11:20:00 AM,REI,15
61663,Denver B-cycle,357185,80206.0,Annual (Denver B-cycle),387,10/4/15,7:40:00 PM,11th & Emerson,10/4/15,7:48:00 PM,12th & Columbine,8
62474,Denver B-cycle,793418,80202.0,30-day Renewing (Denver B-cycle),614,10/3/15,8:26:00 PM,16th & Little Raven,10/3/15,8:38:00 PM,19th & Market,12
62523,Denver B-cycle,988247,80121.0,24-hour Kiosk Only (Denver B-cycle),363,10/3/15,7:00:00 PM,32nd & Pecos,10/3/15,7:22:00 PM,14th & Stout,22
63912,Denver B-cycle,49503,80202.0,Annual (Denver B-cycle),316,10/2/15,4:07:00 PM,9th & Curtis,10/2/15,4:17:00 PM,11th & Broadway,10
64075,Denver B-cycle,825956,80212.0,30-day Renewing (Denver B-cycle),545,10/2/15,2:44:00 PM,23rd & Clay,10/2/15,2:50:00 PM,15th & Delgany,6
64692,Denver B-cycle,382909,80218.0,Annual (Denver B-cycle),703,10/2/15,7:39:00 AM,Bayaud & Emerson,10/2/15,7:52:00 AM,1350 Larimer,13
64791,Denver B-cycle,723977,80205.0,Annual Plus (Denver B-cycle),261,10/2/15,5:08:00 AM,20th & Chestnut,10/2/15,5:17:00 AM,19th & Wynkoop,9
64860,Denver B-cycle,576223,80204.0,Annual (Denver B-cycle),429,10/1/15,9:03:00 PM,Market Street Station,10/1/15,9:16:00 PM,13th & Speer,13
64897,Denver B-cycle,612609,80204.0,Annual (Denver B-cycle),654,10/1/15,7:54:00 PM,13th & Speer,10/1/15,8:00:00 PM,9th & Santa Fe,6
64937,Denver B-cycle,281037,80204.0,Annual (Denver B-cycle),639,10/1/15,7:15:00 PM,Decatur Federal Light Rail,10/1/15,7:26:00 PM,9th & Santa Fe,11
65079,Denver B-cycle,630263,80206.0,Annual (Denver B-cycle),212,10/1/15,6:01:00 PM,Denver Botanic Gardens,10/1/15,6:09:00 PM,13th & Pearl,8
65123,Denver B-cycle,985191,6460.0,24-hour Kiosk Only (Denver B-cycle),608,10/1/15,5:44:00 PM,15th & Curtis,10/1/15,5:59:00 PM,Broadway & Walnut,15
66286,Denver B-cycle,984849,80218,24-hour Kiosk Only (Denver B-cycle),29,9/30/15,9:05:00 PM,11th & Emerson,9/30/15,10:29:00 PM,16th & Little Raven,84
66493,Denver B-cycle,984743,27615,24-hour Kiosk Only (Denver B-cycle),865,9/30/15,6:17:00 PM,14th & Welton,9/30/15,6:42:00 PM,REI,25
66584,Denver B-cycle,336775,80220,Annual (Denver B-cycle),215,9/30/15,5:43:00 PM,22nd & Pennsylvania,9/30/15,5:47:00 PM,16th & Sherman,4
67172,Denver B-cycle,44199,80218,Annual (Denver B-cycle),145,9/30/15,11:44:00 AM,16th & Broadway,9/30/15,11:58:00 AM,11th & Emerson,14
67185,Denver B-cycle,733361,80203,Annual (Denver B-cycle),546,9/30/15,11:39:00 AM,1550 Glenarm,9/30/15,11:53:00 AM,22nd & Market,14
67720,Denver B-cycle,626662,80126,Annual (Denver B-cycle),247,9/29/15,8:28:00 PM,9th & Curtis,9/29/15,8:35:00 PM,4th & Walnut,7
68142,Denver B-cycle,874888,80236,Annual (Denver B-cycle),212,9/29/15,3:33:00 PM,Webb Building,9/29/15,3:40:00 PM,13th & Speer,7
68458,Denver B-cycle,303950,80203,Annual Plus (Denver B-cycle),453,9/29/15,11:09:00 AM,15th & Curtis,9/29/15,11:24:00 AM,9th & Logan,15
69296,Denver B-cycle,347039,80206,Annual (Denver B-cycle),254,9/28/15,4:54:00 PM,Five Points,9/28/15,5:03:00 PM,17th & Race,9
69574,Denver B-cycle,982447,80218,24-hour Kiosk Only (Denver B-cycle),336,9/28/15,2:05:00 PM,19th & Market,9/28/15,2:14:00 PM,28th & Larimer,9
70180,Denver B-cycle,33990,80202,Annual (Denver B-cycle),459,9/28/15,7:08:00 AM,14th & Welton,9/28/15,7:10:00 AM,14th & Stout,2
70332,Denver B-cycle,576223,80204,Annual (Denver B-cycle),624,9/27/15,7:37:00 PM,7th & Grant,9/27/15,7:50:00 PM,13th & Speer,13
70341,Denver B-cycle,869971,80223,24-hour Kiosk Only (Denver B-cycle),134,9/27/15,7:21:00 PM,10th & Osage,9/27/15,8:18:00 PM,1st & Broadway,57
70849,Denver B-cycle,39750,80204,Annual (Denver B-cycle),319,9/27/15,2:27:00 PM,REI,9/27/15,2:49:00 PM,Cherry Creek Mall,22
70970,Denver B-cycle,946210,80202,30-day Renewing (Denver B-cycle),370,9/27/15,1:24:00 PM,1350 Larimer,9/27/15,1:34:00 PM,20th & Chestnut,10
71481,Denver B-cycle,979261,90277,24-hour Kiosk Only (Denver B-cycle),213,9/26/15,10:22:00 PM,15th & Curtis,9/26/15,10:31:00 PM,14th & Stout,9
72432,Des Moines B-cycle,806578,50322,Annual (Des Moines B-cycle),592,9/26/15,2:14:00 PM,11th & Delaware,9/26/15,2:24:00 PM,14th & Welton,10
72823,Denver B-cycle,978295,19406,24-hour Kiosk Only (Denver B-cycle),456,9/26/15,11:43:00 AM,3rd & Milwaukee,9/26/15,12:14:00 PM,1450 Wazee,31
72860,Denver B-cycle,978770,73162,24-hour Kiosk Only (Denver B-cycle),621,9/26/15,11:23:00 AM,Denver Botanic Gardens,9/26/15,12:16:00 PM,14th & Welton,53
73069,Denver B-cycle,977449,85298,24-hour Kiosk Only (Denver B-cycle),330,9/26/15,9:11:00 AM,15th & Curtis,9/26/15,9:38:00 AM,15th & Curtis,27
73228,Denver B-cycle,11503,80211,Annual (Denver B-cycle),230,9/25/15,10:28:00 PM,Market Street Station,9/25/15,11:04:00 PM,Florida & S. Pearl,36
73302,Denver B-cycle,17650,80205,Annual (Denver B-cycle),25,9/25/15,9:30:00 PM,32nd & Pecos,9/25/15,9:35:00 PM,16th & Platte,5
73393,Denver B-cycle,978010,,24-hour Kiosk Only (Denver B-cycle),394,9/25/15,7:52:00 PM,25th & Lawrence,9/25/15,8:04:00 PM,33rd & Arapahoe,12
73716,Denver B-cycle,799278,80209,Annual Plus (Denver B-cycle),183,9/25/15,5:01:00 PM,3rd & Milwaukee,9/25/15,5:07:00 PM,Ellsworth & Madison,6
74131,Denver B-cycle,808668,80233,Annual (Denver B-cycle),287,9/25/15,2:37:00 PM,1550 Glenarm,9/25/15,2:46:00 PM,Denver Public Library,9
74384,Denver B-cycle,977261,94606,24-hour Kiosk Only (Denver B-cycle),688,9/25/15,1:07:00 PM,9th & Logan,9/25/15,1:08:00 PM,9th & Logan,1
74404,Denver B-cycle,977285,21804,24-hour Kiosk Only (Denver B-cycle),68,9/25/15,12:58:00 PM,10th & Osage,9/25/15,1:43:00 PM,14th & Stout,45
74802,Denver B-cycle,726787,80201,Annual (Denver B-cycle),580,9/25/15,9:14:00 AM,32nd & Julian,9/25/15,9:29:00 AM,Market Street Station,15
74993,Denver B-cycle,109265,80226,Annual (Denver B-cycle),809,9/25/15,7:39:00 AM,Denver Public Library,9/25/15,7:45:00 AM,Webb Building,6
74994,Denver B-cycle,54223,80202,Annual (Denver B-cycle),703,9/25/15,7:38:00 AM,19th & Pearl,9/25/15,7:43:00 AM,18th & California,5
75342,Denver B-cycle,799278,80209,Annual Plus (Denver B-cycle),644,9/24/15,7:02:00 PM,Ellsworth & Madison,9/24/15,7:07:00 PM,Cherry Creek Mall,5
75346,Denver B-cycle,719340,80206,Annual (Denver B-cycle),437,9/24/15,6:59:00 PM,1350 Larimer,9/24/15,7:09:00 PM,9th & Santa Fe,10
75624,Denver B-cycle,183783,80204,Annual (Denver B-cycle),776,9/24/15,5:08:00 PM,18th & California,9/24/15,5:19:00 PM,Denver Health,11
76222,Denver B-cycle,31340,80246,Annual Plus (Denver B-cycle),87,9/24/15,1:21:00 PM,23rd & Clay,9/24/15,1:30:00 PM,29th & Zuni,9
76376,Denver B-cycle,975765,44017,30-day Renewing (Denver B-cycle),236,9/24/15,12:18:00 PM,32nd & Pecos,9/24/15,12:44:00 PM,Broadway & Walnut,26
76831,Denver B-cycle,914510,80218,30-day Renewing (Denver B-cycle),398,9/24/15,8:00:00 AM,6th & Clarkson,9/24/15,8:08:00 AM,16th & Sherman,8
77024,Denver B-cycle,122285,80205,Annual (Denver B-cycle),705,9/23/15,10:38:00 PM,19th & Wynkoop,9/23/15,10:47:00 PM,33rd & Arapahoe,9
77823,Denver B-cycle,696533,80403,Annual (Denver B-cycle),435,9/23/15,3:06:00 PM,Webb Building,9/23/15,3:19:00 PM,Union Station Light Rail at 17th,13
78139,Denver B-cycle,974829,54956,24-hour Kiosk Only (Denver B-cycle),479,9/23/15,11:29:00 AM,14th & Stout,9/23/15,11:41:00 AM,Denver Health,12
78388,Denver B-cycle,737526,80238,Annual (Denver B-cycle),652,9/23/15,8:06:00 AM,25th & Lawrence,9/23/15,8:18:00 AM,1450 Wazee,12
78888,Denver B-cycle,782836,80211,Annual (Denver B-cycle),43,9/22/15,5:53:00 PM,29th & Zuni,9/22/15,5:57:00 PM,16th & Boulder,4
79512,Denver B-cycle,69355,80301,Annual Plus (Denver B-cycle),677,9/22/15,11:51:00 AM,Union Station Light Rail at 17th,9/22/15,12:25:00 PM,DU Driscoll Center,34
80050,Denver B-cycle,562459,80203,Annual (Denver B-cycle),49,9/21/15,9:51:00 PM,11th & Emerson,9/21/15,10:00:00 PM,19th & Pearl,9
80829,Denver B-cycle,948297,80211,Annual (Denver B-cycle),429,9/21/15,12:43:00 PM,17th & Blake,9/21/15,12:51:00 PM,16th & Boulder,8
81211,Denver B-cycle,44201,80205,Annual (Denver B-cycle),325,9/21/15,7:59:00 AM,22nd & Market,9/21/15,8:14:00 AM,Webb Building,15
81237,Denver B-cycle,319865,80202,Annual (Denver B-cycle),677,9/21/15,7:44:00 AM,6th & Clarkson,9/21/15,7:59:00 AM,Market Street Station,15
81482,Denver B-cycle,253347,80218,Annual (Denver B-cycle),948,9/20/15,7:18:00 PM,14th & Ogden,9/20/15,8:22:00 PM,14th & Ogden,64
81698,Denver B-cycle,972149,80237,24-hour Kiosk Only (Denver B-cycle),791,9/20/15,4:57:00 PM,16th & Little Raven,9/20/15,5:25:00 PM,32nd & Julian,28
81863,Denver B-cycle,972423,19118,24-hour Kiosk Only (Denver B-cycle),247,9/20/15,3:14:00 PM,14th & Stout,9/20/15,3:22:00 PM,16th & Sherman,8
81920,Denver B-cycle,972347,53704,24-hour Kiosk Only (Denver B-cycle),326,9/20/15,2:40:00 PM,Denver Zoo,9/20/15,2:45:00 PM,Denver Museum of Nature & Science,5
82020,Denver B-cycle,284305,80218,Annual (Denver B-cycle),978,9/20/15,1:49:00 PM,Colfax & Gaylord,9/20/15,2:09:00 PM,11th & Emerson,20
82119,Denver B-cycle,630194,80218,Annual (Denver B-cycle),550,9/20/15,12:45:00 PM,13th & Marion,9/20/15,12:55:00 PM,17th & Pearl,10
82184,Denver B-cycle,465931,53704,24-hour Kiosk Only (Denver B-cycle),249,9/20/15,12:01:00 PM,1550 Glenarm,9/20/15,12:29:00 PM,Denver Zoo,28
82209,Denver B-cycle,532466,80021,Annual (Denver B-cycle),516,9/20/15,11:44:00 AM,14th & Ogden,9/20/15,11:51:00 AM,9th & Logan,7
82979,Denver B-cycle,970679,80211,24-hour Kiosk Only (Denver B-cycle),694,9/19/15,4:10:00 PM,29th & Zuni,9/19/15,4:15:00 PM,29th & Zuni,5
83282,Denver B-cycle,970254,27519,24-hour Kiosk Only (Denver B-cycle),621,9/19/15,2:01:00 PM,1st & Broadway,9/19/15,4:35:00 PM,13th & Pearl,154
83620,Denver B-cycle,62617,80203,Annual (Denver B-cycle),522,9/19/15,10:44:00 AM,13th & Pearl,9/19/15,10:49:00 AM,9th & Logan,5
83994,Denver B-cycle,244962,80218,Annual (Denver B-cycle),493,9/18/15,6:36:00 PM,14th & Ogden,9/18/15,6:45:00 PM,17th & Pearl,9
84325,Denver B-cycle,968657,80220,24-hour Kiosk Only (Denver B-cycle),664,9/18/15,4:06:00 PM,12th & Columbine,9/18/15,4:12:00 PM,Colfax & Steele,6
84452,Denver B-cycle,968562,46037,24-hour Kiosk Only (Denver B-cycle),254,9/18/15,3:09:00 PM,Louisiana / Pearl Light Rail,9/18/15,3:55:00 PM,16th & Little Raven,46
84929,Denver B-cycle,130367,80218,Annual (Denver B-cycle),73,9/18/15,10:01:00 AM,11th & Emerson,9/18/15,10:04:00 AM,12th & Sherman,3
85002,Denver B-cycle,761253,80211,Annual Plus (Denver B-cycle),646,9/18/15,8:55:00 AM,29th & Zuni,9/18/15,9:02:00 AM,17th & Larimer,7
85188,Denver B-cycle,771506,80113,Annual (Denver B-cycle),725,9/18/15,7:15:00 AM,14th & Stout,9/18/15,7:19:00 AM,15th & Cleveland,4
85596,Denver B-cycle,774930,39503,Annual (Denver B-cycle),576,9/17/15,5:44:00 PM,Market Street Station,9/17/15,5:56:00 PM,Broadway & Walnut,12
85743,Denver B-cycle,15469,80203,Annual (Denver B-cycle),363,9/17/15,4:57:00 PM,1350 Larimer,9/17/15,5:13:00 PM,13th & Pearl,16
85760,Denver B-cycle,943560,80203,30-day Renewing (Denver B-cycle),391,9/17/15,4:52:00 PM,14th & Stout,9/17/15,4:56:00 PM,16th & Sherman,4
86021,Denver B-cycle,967567,78749,24-hour Kiosk Only (Denver B-cycle),864,9/17/15,2:31:00 PM,14th & Welton,9/17/15,3:01:00 PM,39th & Fox,30
86300,Denver B-cycle,352499,80220,Annual (Denver B-cycle),447,9/17/15,10:55:00 AM,17th & Tejon,9/17/15,11:05:00 AM,16th & Little Raven,10
86789,Denver B-cycle,537913,80205,Annual (Denver B-cycle),276,9/16/15,9:24:00 PM,19th & Market,9/16/15,9:33:00 PM,33rd & Arapahoe,9
86846,Denver B-cycle,890708,80219,30-day Renewing (Denver B-cycle),362,9/16/15,8:25:00 PM,1550 Glenarm,9/16/15,9:02:00 PM,Denver Zoo,37
86935,Denver B-cycle,937401,80218,30-day Renewing (Denver B-cycle),721,9/16/15,6:59:00 PM,11th & Emerson,9/16/15,7:42:00 PM,11th & Broadway,43
87139,Denver B-cycle,22566,80202,Annual Plus (Denver B-cycle),576,9/16/15,5:22:00 PM,16th & Little Raven,9/16/15,5:39:00 PM,REI,17
87353,Denver B-cycle,396075,80204,Annual (Denver B-cycle),403,9/16/15,3:54:00 PM,16th & Broadway,9/16/15,4:00:00 PM,Denver Public Library,6
87570,Denver B-cycle,333603,80205,Annual (Denver B-cycle),266,9/16/15,1:11:00 PM,19th & Market,9/16/15,1:33:00 PM,19th & Market,22
87669,Denver B-cycle,13112,80218,Annual (Denver B-cycle),539,9/16/15,11:52:00 AM,Colfax & Garfield,9/16/15,12:19:00 PM,13th & Pearl,27
87702,Denver B-cycle,396082,80205,Annual (Denver B-cycle),500,9/16/15,11:28:00 AM,19th & Pearl,9/16/15,11:33:00 AM,16th & Sherman,5
87875,Denver B-cycle,48465,80205,Annual (Denver B-cycle),326,9/16/15,8:33:00 AM,28th & Larimer,9/16/15,8:46:00 AM,16th & Broadway,13
87902,Denver B-cycle,634828,80123,Annual (Denver B-cycle),825,9/16/15,8:23:00 AM,14th & Stout,9/16/15,8:29:00 AM,Webb Building,6
88106,Denver B-cycle,966126,23223,24-hour Kiosk Only (Denver B-cycle),567,9/16/15,6:45:00 AM,19th & Pearl,9/16/15,7:51:00 AM,19th & Pearl,66
88908,Denver B-cycle,795339,80211,Annual (Denver B-cycle),545,9/15/15,1:00:00 PM,15th & Delgany,9/15/15,1:05:00 PM,16th & Platte,5
89229,Denver B-cycle,212580,80218,Annual (Denver B-cycle),326,9/15/15,8:31:00 AM,1551 Lafayette,9/15/15,8:48:00 AM,1450 Wazee,17
89735,Denver B-cycle,914510,80218,30-day Renewing (Denver B-cycle),757,9/14/15,6:03:00 PM,16th & Broadway,9/14/15,6:13:00 PM,6th & Clarkson,10
91153,Denver B-cycle,962980,80601,24-hour Kiosk Only (Denver B-cycle),327,9/13/15,4:43:00 PM,17th & Blake,9/13/15,4:55:00 PM,18th & California,12
92127,Denver B-cycle,404366,80203,Annual (Denver B-cycle),249,9/12/15,10:40:00 PM,Colfax & Gaylord,9/12/15,10:59:00 PM,19th & Pearl,19
92739,Denver B-cycle,960393,10036,24-hour Kiosk Only (Denver B-cycle),742,9/12/15,3:36:00 PM,REI,9/12/15,3:58:00 PM,17th & Blake,22
93198,Denver B-cycle,960670,56573,24-hour Kiosk Only (Denver B-cycle),636,9/12/15,12:43:00 PM,16th & Platte,9/12/15,1:41:00 PM,19th & Market,58
93468,Denver B-cycle,787483,80206,Annual (Denver B-cycle),106,9/12/15,10:57:00 AM,Colfax & Steele,9/12/15,12:19:00 PM,Colfax & Steele,82
95089,Boulder B-cycle,846034,80203,Annual (Boulder B-cycle),696,9/11/15,7:45:00 AM,18th & California,9/11/15,7:53:00 AM,Union Station Light Rail at 17th,8
95478,Denver B-cycle,13303,80202,Annual (Denver B-cycle),535,9/10/15,6:29:00 PM,13th & Speer,9/10/15,6:41:00 PM,1450 Wazee,12
95559,Denver B-cycle,319865,80202,Annual (Denver B-cycle),542,9/10/15,5:54:00 PM,1450 Wazee,9/10/15,6:10:00 PM,6th & Clarkson,16
96358,Denver B-cycle,486124,80203,Annual (Denver B-cycle),148,9/10/15,10:14:00 AM,12th & Sherman,9/10/15,10:22:00 AM,Market Street Station,8
96552,Denver B-cycle,649692,80205,Annual (Denver B-cycle),723,9/10/15,8:07:00 AM,33rd & Arapahoe,9/10/15,8:22:00 AM,17th & Blake,15
96934,Denver B-cycle,957595,80219,24-hour Kiosk Only (Denver B-cycle),546,9/9/15,7:22:00 PM,Webb Building,9/9/15,10:48:00 PM,14th & Elati,206
97440,Denver B-cycle,458482,80227,Annual (Denver B-cycle),914,9/9/15,3:16:00 PM,16th & Broadway,9/9/15,3:24:00 PM,9th & Santa Fe,8
97800,Denver B-cycle,915345,80218,Annual (Denver B-cycle),744,9/9/15,9:31:00 AM,13th & Marion,9/9/15,10:59:00 AM,13th & Marion,88
97900,Denver B-cycle,764979,80015,Annual (Denver B-cycle),326,9/9/15,8:31:00 AM,12th & Columbine,9/9/15,8:52:00 AM,1350 Larimer,21
98232,Denver B-cycle,314834,80204,Annual (Denver B-cycle),164,9/8/15,9:07:00 PM,Denver Museum of Nature & Science,9/8/15,9:30:00 PM,13th & Pearl,23
98355,Denver B-cycle,946921,80211,Annual (Denver B-cycle),734,9/8/15,6:39:00 PM,16th & Boulder,9/8/15,6:40:00 PM,16th & Boulder,1
98417,Denver B-cycle,259256,80218,Annual (Denver B-cycle),744,9/8/15,6:12:00 PM,7th & Grant,9/8/15,6:22:00 PM,13th & Marion,10
98495,Denver B-cycle,48622,80202,Annual (Denver B-cycle),68,9/8/15,5:38:00 PM,Denver Public Library,9/8/15,5:47:00 PM,1st & Broadway,9
99216,Denver B-cycle,956147,77007,24-hour Kiosk Only (Denver B-cycle),639,9/8/15,10:47:00 AM,15th & Delgany,9/8/15,11:12:00 AM,14th & Stout,25
99332,Denver B-cycle,955194,0,24-hour Kiosk Only (Denver B-cycle),311,9/8/15,8:55:00 AM,14th & Stout,9/8/15,9:22:00 AM,16th & Platte,27
100059,Denver B-cycle,955519,80122,24-hour Kiosk Only (Denver B-cycle),319,9/7/15,5:05:00 PM,Broadway & Walnut,9/7/15,6:55:00 PM,22nd & Market,110
100503,Denver B-cycle,591053,80218,Annual (Denver B-cycle),368,9/7/15,1:51:00 PM,13th & Marion,9/7/15,2:01:00 PM,9th & Downing,10
100579,Denver B-cycle,417426,51360,24-hour Kiosk Only (Denver B-cycle),736,9/7/15,1:19:00 PM,REI,9/7/15,1:36:00 PM,1550 Glenarm,17
101511,Denver B-cycle,952504,78722,24-hour Kiosk Only (Denver B-cycle),178,9/6/15,6:54:00 PM,12th & Sherman,9/6/15,7:33:00 PM,6th & Clarkson,39
101804,Denver B-cycle,953254,0,24-hour Kiosk Only (Denver B-cycle),19,9/6/15,4:57:00 PM,REI,9/6/15,5:16:00 PM,16th & Platte,19
101986,Denver B-cycle,218999,80206,Annual (Denver B-cycle),221,9/6/15,3:53:00 PM,Market Street Station,9/6/15,3:55:00 PM,19th & Market,2
102049,Denver B-cycle,953196,80222,24-hour Kiosk Only (Denver B-cycle),420,9/6/15,3:34:00 PM,16th & Boulder,9/6/15,3:55:00 PM,28th & Larimer,21
102368,Denver B-cycle,952081,32829,24-hour Kiosk Only (Denver B-cycle),181,9/6/15,1:51:00 PM,14th & Welton,9/6/15,2:18:00 PM,1450 Wazee,27
102566,Denver B-cycle,396231,80203,Annual (Denver B-cycle),504,9/6/15,12:37:00 PM,Colfax & Columbine,9/6/15,12:50:00 PM,19th & Pearl,13
102719,Denver B-cycle,952317,0,24-hour Kiosk Only (Denver B-cycle),58,9/6/15,11:39:00 AM,16th & Little Raven,9/6/15,12:28:00 PM,16th & Little Raven,49
102883,Denver B-cycle,952070,29033,24-hour Kiosk Only (Denver B-cycle),805,9/6/15,10:32:00 AM,14th & Welton,9/6/15,10:33:00 AM,14th & Welton,1
102926,Denver B-cycle,951911,92399,24-hour Kiosk Only (Denver B-cycle),36,9/6/15,10:13:00 AM,Louisiana / Pearl Light Rail,9/6/15,10:18:00 AM,Louisiana & Franklin,5
103268,Denver B-cycle,948136,77024,24-hour Kiosk Only (Denver B-cycle),646,9/5/15,7:52:00 PM,12th & Sherman,9/5/15,8:05:00 PM,17th & Downing,13
104347,Denver B-cycle,950174,3842,24-hour Kiosk Only (Denver B-cycle),703,9/5/15,12:38:00 PM,16th & Sherman,9/5/15,1:16:00 PM,23rd & Clay,38
105446,Denver B-cycle,948176,95242,24-hour Kiosk Only (Denver B-cycle),135,9/4/15,4:03:00 PM,16th & Little Raven,9/4/15,4:23:00 PM,16th & Platte,20
106015,Denver B-cycle,216185,80211,Annual (Denver B-cycle),244,9/4/15,10:59:00 AM,17th & Tejon,9/4/15,11:10:00 AM,14th & Stout,11
106090,Denver B-cycle,941380,94925,30-day Renewing (Denver B-cycle),524,9/4/15,9:58:00 AM,1551 Lafayette,9/4/15,10:18:00 AM,Denver Museum of Nature & Science,20
106146,Denver B-cycle,761253,80211,Annual Plus (Denver B-cycle),873,9/4/15,9:09:00 AM,29th & Zuni,9/4/15,9:12:00 AM,29th & Zuni,3
106826,Denver B-cycle,761253,80211,Annual Plus (Denver B-cycle),873,9/3/15,4:36:00 PM,18th & Arapahoe,9/3/15,4:56:00 PM,29th & Zuni,20
107129,Denver B-cycle,384284,80203,Annual (Denver B-cycle),116,9/3/15,1:46:00 PM,14th & Welton,9/3/15,1:49:00 PM,15th & Curtis,3
107219,Denver B-cycle,947313,80212,24-hour Kiosk Only (Denver B-cycle),183,9/3/15,12:47:00 PM,22nd & Market,9/3/15,1:04:00 PM,18th & California,17
107425,Denver B-cycle,316627,80205,Annual (Denver B-cycle),427,9/3/15,9:15:00 AM,9th & Curtis,9/3/15,9:25:00 AM,28th & Larimer,10
107746,Denver B-cycle,423086,80211,Annual (Denver B-cycle),175,9/2/15,10:51:00 PM,17th & Blake,9/2/15,11:09:00 PM,29th & Zuni,18
107800,Denver B-cycle,615015,80203,Annual (Denver B-cycle),198,9/2/15,9:47:00 PM,1st & Broadway,9/2/15,10:00:00 PM,28th & Larimer,13
107885,Denver B-cycle,946780,80401,24-hour Kiosk Only (Denver B-cycle),612,9/2/15,8:44:00 PM,22nd & Market,9/2/15,11:48:00 PM,Broadway & Walnut,184
108983,Denver B-cycle,787776,80205,Annual (Denver B-cycle),619,9/2/15,7:58:00 AM,22nd & Market,9/2/15,8:04:00 AM,18th & California,6
109275,Denver B-cycle,313863,80205,Annual Plus (Denver B-cycle),627,9/1/15,7:50:00 PM,25th & Lawrence,9/1/15,7:58:00 PM,9th & Curtis,8
109796,Denver B-cycle,45622,80203,Annual (Denver B-cycle),354,9/1/15,3:07:00 PM,16th & Broadway,9/1/15,3:12:00 PM,13th & Pearl,5
110059,Denver B-cycle,225573,80203,Annual (Denver B-cycle),513,9/1/15,12:03:00 PM,1st & Broadway,9/1/15,12:17:00 PM,9th & Curtis,14
111373,Denver B-cycle,926770,80020,Annual (Denver B-cycle),107,8/31/15,10:52:00 AM,1350 Larimer,8/31/15,10:55:00 AM,9th & Curtis,3
111545,Denver B-cycle,356420,80204,Annual (Denver B-cycle),628,8/31/15,8:27:00 AM,13th & Speer,8/31/15,8:35:00 AM,1450 Wazee,8
112287,Denver B-cycle,11648,80202,Annual (Denver B-cycle),593,8/30/15,3:07:00 PM,15th & Curtis,8/30/15,3:12:00 PM,15th & Delgany,5
113202,Denver B-cycle,941471,33647,24-hour Kiosk Only (Denver B-cycle),263,8/29/15,6:55:00 PM,Louisiana & Franklin,8/29/15,7:41:00 PM,Louisiana & Franklin,46
113276,Denver B-cycle,940438,92704,24-hour Kiosk Only (Denver B-cycle),516,8/29/15,6:12:00 PM,REI,8/29/15,6:15:00 PM,REI,3
114739,Denver B-cycle,404480,80218,Annual (Denver B-cycle),800,8/28/15,8:11:00 PM,Denver Botanic Gardens,8/28/15,8:17:00 PM,13th & Marion,6
114760,Denver B-cycle,939158,80210,24-hour Kiosk Only (Denver B-cycle),386,8/28/15,7:48:00 PM,16th & Little Raven,8/28/15,7:59:00 PM,17th & Tejon,11
115181,Denver B-cycle,562736,80111,Annual (Denver B-cycle),43,8/28/15,4:37:00 PM,19th & Pearl,8/28/15,4:45:00 PM,19th & Market,8
115385,Denver B-cycle,356159,80526,Annual Plus (Denver B-cycle),746,8/28/15,3:08:00 PM,DU Driscoll Center,8/28/15,3:13:00 PM,Louisiana & Franklin,5
115436,Denver B-cycle,938668,11225,24-hour Kiosk Only (Denver B-cycle),279,8/28/15,2:37:00 PM,13th & Pearl,8/28/15,3:01:00 PM,REI,24
115625,Denver B-cycle,938394,11210,24-hour Kiosk Only (Denver B-cycle),329,8/28/15,12:31:00 PM,Louisiana & Franklin,8/28/15,12:59:00 PM,Louisiana & Franklin,28
116117,Denver B-cycle,937543,91602,24-hour Kiosk Only (Denver B-cycle),899,8/27/15,7:46:00 PM,Union Station Light Rail at 17th,8/27/15,7:59:00 PM,REI,13
116744,Denver B-cycle,937530,7030,24-hour Kiosk Only (Denver B-cycle),797,8/27/15,2:03:00 PM,2045 Franklin,8/27/15,2:22:00 PM,15th & Cleveland,19
117230,Denver B-cycle,937112,78757,24-hour Kiosk Only (Denver B-cycle),684,8/27/15,8:25:00 AM,1st & Broadway,8/27/15,9:22:00 AM,17th & Larimer,57
117706,Denver B-cycle,381957,80205,Annual (Denver B-cycle),292,8/26/15,7:17:00 PM,Broadway & Walnut,8/26/15,7:22:00 PM,33rd & Arapahoe,5
117826,Denver B-cycle,883905,80204,Annual (Denver B-cycle),332,8/26/15,6:11:00 PM,Union Station Light Rail at 17th,8/26/15,6:21:00 PM,13th & Speer,10
118048,Denver B-cycle,278901,80211,Annual (Denver B-cycle),805,8/26/15,4:35:00 PM,15th & Delgany,8/26/15,4:38:00 PM,16th & Platte,3
118798,Denver B-cycle,460590,80203,Annual (Denver B-cycle),105,8/26/15,6:48:00 AM,12th & Sherman,8/26/15,7:00:00 AM,Union Station Light Rail at 17th,12
118898,Denver B-cycle,935832,81301,24-hour Kiosk Only (Denver B-cycle),312,8/25/15,10:07:00 PM,17th & Pearl,8/25/15,10:19:00 PM,11th & Emerson,12
119209,Denver B-cycle,194715,80209,Annual (Denver B-cycle),479,8/25/15,5:46:00 PM,17th & Larimer,8/25/15,5:51:00 PM,1450 Wazee,5
