users_program,user_id,zip,membership_type,bike,checkout_date,checkout_time,checkout_kiosk,return_date,return_time,return_kiosk,duration_minutes
Denver B-cycle,493039,80209,Annual (Denver B-cycle),148,12/29/15,9:55:00 AM,Denver Health,12/29/15,10:02:00 AM,Denver Public Library,7
Denver B-cycle,652957,80211,Annual (Denver B-cycle),596,12/29/15,9:42:00 AM,17th & Tejon,12/29/15,9:47:00 AM,16th & Little Raven,5
Denver B-cycle,27039,80218,Annual (Denver B-cycle),482,12/29/15,9:31:00 AM,9th & Downing,12/29/15,9:44:00 AM,18th & California,13
Denver B-cycle,381256,80205,Annual (Denver B-cycle),12,12/29/15,9:30:00 AM,22nd & Market,12/29/15,9:35:00 AM,18th & California,5
Denver B-cycle,974373,80110,Annual (Denver B-cycle),615,12/29/15,9:28:00 AM,11th & Delaware,12/29/15,9:33:00 AM,15th & Cleveland,5
Denver B-cycle,584772,80214,Annual (Denver B-cycle),387,12/29/15,9:24:00 AM,Decatur Federal Light Rail,12/29/15,9:50:00 AM,Denver Public Library,26
Denver B-cycle,692596,80218,Annual (Denver B-cycle),874,12/29/15,9:16:00 AM,9th & Downing,12/29/15,9:26:00 AM,3rd & Milwaukee,10
Denver B-cycle,47248,80210,Annual Plus (Denver B-cycle),606,12/29/15,9:15:00 AM,18th & California,12/29/15,9:22:00 AM,Broadway & Walnut,7
Denver B-cycle,851405,80203,Monthly (Denver B-cycle),914,12/29/15,9:15:00 AM,12th & Sherman,12/29/15,9:20:00 AM,16th & Broadway,5
Denver B-cycle,232767,80202,Annual (Denver B-cycle),210,12/29/15,9:10:00 AM,16th & Little Raven,12/29/15,9:20:00 AM,17th & Larimer,10
Denver B-cycle,975965,80232,Annual Plus (Denver B-cycle),551,12/29/15,9:09:00 AM,7th & Grant,12/29/15,9:21:00 AM,17th & Larimer,12
Denver B-cycle,985824,80209,Monthly (Denver B-cycle),584,12/29/15,9:07:00 AM,Bayaud & Pennsylvania,12/29/15,9:23:00 AM,1450 Wazee,16
Denver B-cycle,946520,80227,Annual (Denver B-cycle),513,12/29/15,9:04:00 AM,13th & Speer,12/29/15,9:09:00 AM,Webb Building,5
Denver B-cycle,973810,80204,Annual (Denver B-cycle),43,12/29/15,9:03:00 AM,13th & Speer,12/29/15,9:09:00 AM,18th & California,6
Denver B-cycle,324547,80129,Annual (Denver B-cycle),230,12/29/15,8:55:00 AM,14th & Stout,12/29/15,8:59:00 AM,15th & Delgany,4
Denver B-cycle,360123,80209,Annual Plus (Denver B-cycle),524,12/29/15,8:51:00 AM,Bayaud & Pennsylvania,12/29/15,9:03:00 AM,16th & Broadway,12
Denver B-cycle,756029,80202,Annual Plus (Denver B-cycle),279,12/29/15,8:49:00 AM,Union Station Light Rail at 17th,12/29/15,9:02:00 AM,Denver Public Library,13
Denver B-cycle,360123,80209,Annual Plus (Denver B-cycle),584,12/29/15,8:49:00 AM,Bayaud & Pennsylvania,12/29/15,8:50:00 AM,Bayaud & Pennsylvania,1
Denver B-cycle,532906,80204,Annual (Denver B-cycle),149,12/29/15,8:45:00 AM,Denver Health,12/29/15,8:56:00 AM,1450 Wazee,11
Denver B-cycle,811971,80205,Annual (Denver B-cycle),477,12/29/15,8:43:00 AM,22nd & Market,12/29/15,8:47:00 AM,Market Street Station,4
Denver B-cycle,121001,80223,Annual (Denver B-cycle),57,12/29/15,8:38:00 AM,11th & Delaware,12/29/15,8:43:00 AM,16th & Broadway,5
Denver B-cycle,432848,80204,Annual (Denver B-cycle),254,12/29/15,8:38:00 AM,13th & Speer,12/29/15,8:42:00 AM,Webb Building,4
Denver B-cycle,49731,80203,Annual (Denver B-cycle),38,12/29/15,8:34:00 AM,Bayaud & Pennsylvania,12/29/15,8:53:00 AM,17th & Larimer,19
Denver B-cycle,257970,80202,Annual Plus (Denver B-cycle),685,12/29/15,8:33:00 AM,20th & Chestnut,12/29/15,8:36:00 AM,19th & Wynkoop,3
Denver B-cycle,672572,80205,Annual (Denver B-cycle),902,12/29/15,8:30:00 AM,Park Ave West & Tremont,12/29/15,8:40:00 AM,Market Street Station,10
Denver B-cycle,384284,80203,Annual (Denver B-cycle),238,12/29/15,8:24:00 AM,22nd & Pennsylvania,12/29/15,8:30:00 AM,15th & Curtis,6
Denver B-cycle,817980,80108,Annual (Denver B-cycle),914,12/29/15,8:22:00 AM,11th & Emerson,12/29/15,8:27:00 AM,12th & Sherman,5
Denver B-cycle,770572,80204,Annual Plus (Denver B-cycle),168,12/29/15,8:19:00 AM,10th & Osage,12/29/15,8:30:00 AM,13th & Speer,11
Denver B-cycle,296496,80206,Annual Plus (Denver B-cycle),792,12/29/15,8:19:00 AM,12th & Columbine,12/29/15,8:30:00 AM,19th & Pearl,11
Denver B-cycle,200976,80206,Annual (Denver B-cycle),92,12/29/15,8:16:00 AM,Bayaud & Emerson,12/29/15,8:29:00 AM,1450 Wazee,13
Denver B-cycle,975403,80204,Annual Plus (Denver B-cycle),516,12/29/15,8:16:00 AM,Decatur Federal Light Rail,12/29/15,8:43:00 AM,18th & Arapahoe,27
Denver B-cycle,319865,80202,Annual (Denver B-cycle),222,12/29/15,8:14:00 AM,19th & Pearl,12/29/15,8:21:00 AM,17th & Blake,7
Denver B-cycle,697586,80021,Annual (Denver B-cycle),26,12/29/15,8:13:00 AM,15th & Delgany,12/29/15,8:21:00 AM,Webb Building,8
Denver B-cycle,612609,80204,Annual (Denver B-cycle),624,12/29/15,8:12:00 AM,13th & Speer,12/29/15,8:17:00 AM,1350 Larimer,5
Denver B-cycle,821587,80211,Annual (Denver B-cycle),215,12/29/15,8:02:00 AM,32nd & Pecos,12/29/15,8:18:00 AM,1550 Glenarm,16
Denver B-cycle,33470,80203,Annual (Denver B-cycle),168,12/29/15,7:59:00 AM,13th & Pearl,12/29/15,8:08:00 AM,10th & Osage,9
Denver B-cycle,1044484,80503,Annual (Denver B-cycle),624,12/29/15,7:57:00 AM,17th & Blake,12/29/15,8:11:00 AM,13th & Speer,14
Denver B-cycle,974806,80202,Annual Plus (Denver B-cycle),141,12/29/15,7:56:00 AM,15th & Curtis,12/29/15,8:01:00 AM,16th & Platte,5
Denver B-cycle,237745,80206,Annual (Denver B-cycle),580,12/29/15,7:52:00 AM,14th & Ogden,12/29/15,7:57:00 AM,12th & Sherman,5
Denver B-cycle,360177,80218,Annual Plus (Denver B-cycle),927,12/29/15,7:49:00 AM,13th & Marion,12/29/15,7:56:00 AM,12th & Sherman,7
Denver B-cycle,340476,80218,Annual Plus (Denver B-cycle),652,12/29/15,7:48:00 AM,13th & Marion,12/29/15,7:58:00 AM,Denver Public Library,10
Denver B-cycle,427812,80203,Annual Plus (Denver B-cycle),658,12/29/15,7:48:00 AM,17th & Blake,12/29/15,7:56:00 AM,25th & Lawrence,8
Denver B-cycle,595710,80210,Annual (Denver B-cycle),245,12/29/15,7:43:00 AM,14th & Elati,12/29/15,7:46:00 AM,Webb Building,3
Denver B-cycle,841602,80203,Annual (Denver B-cycle),535,12/29/15,7:43:00 AM,9th & Logan,12/29/15,7:49:00 AM,Webb Building,6
Denver B-cycle,1031776,80218,Monthly (Denver B-cycle),677,12/29/15,7:43:00 AM,1st & Broadway,12/29/15,7:55:00 AM,9th & Santa Fe,12
Denver B-cycle,717897,80203,Annual (Denver B-cycle),240,12/29/15,7:37:00 AM,19th & Pearl,12/29/15,7:43:00 AM,18th & California,6
Denver B-cycle,483336,80218,Annual (Denver B-cycle),254,12/29/15,7:36:00 AM,13th & Marion,12/29/15,7:52:00 AM,13th & Speer,16
Denver B-cycle,171752,80127,Annual (Denver B-cycle),661,12/29/15,7:25:00 AM,14th & Stout,12/29/15,7:29:00 AM,15th & Delgany,4
Denver B-cycle,634828,80123,Annual (Denver B-cycle),711,12/29/15,7:23:00 AM,14th & Stout,12/29/15,3:19:00 PM,14th & Stout,476
Denver B-cycle,875765,80203,Annual Plus (Denver B-cycle),504,12/29/15,7:19:00 AM,11th & Emerson,12/29/15,7:33:00 AM,3rd & Milwaukee,14
Denver B-cycle,62470,80218,Annual (Denver B-cycle),519,12/29/15,7:11:00 AM,13th & Marion,12/29/15,7:20:00 AM,18th & California,9
Denver B-cycle,659848,80206,Annual (Denver B-cycle),96,12/29/15,7:09:00 AM,13th & Pearl,12/29/15,7:15:00 AM,15th & Cleveland,6
Denver B-cycle,247989,80204,Annual (Denver B-cycle),449,12/29/15,7:09:00 AM,13th & Speer,12/29/15,7:13:00 AM,15th & Cleveland,4
Denver B-cycle,922749,80205,Annual (Denver B-cycle),79,12/29/15,7:00:00 AM,22nd & Pennsylvania,12/29/15,7:02:00 AM,18th & California,2
Denver B-cycle,874888,80236,Annual (Denver B-cycle),481,12/29/15,6:59:00 AM,13th & Speer,12/29/15,7:03:00 AM,Webb Building,4
Denver B-cycle,661757,80202,Annual (Denver B-cycle),261,12/29/15,6:53:00 AM,17th & Larimer,12/29/15,7:08:00 AM,18th & Arapahoe,15
Denver B-cycle,923761,80015,Annual (Denver B-cycle),557,12/29/15,6:42:00 AM,9th & Santa Fe,12/29/15,6:51:00 AM,16th & Broadway,9
Denver B-cycle,418390,80228,Annual (Denver B-cycle),425,12/29/15,6:37:00 AM,Union Station Light Rail at 17th,12/29/15,6:42:00 AM,17th & Blake,5
Denver B-cycle,36474,80201,Annual (Denver B-cycle),141,12/29/15,6:37:00 AM,25th & Lawrence,12/29/15,7:50:00 AM,15th & Curtis,73
Denver B-cycle,215912,80215,Annual (Denver B-cycle),148,12/29/15,6:36:00 AM,10th & Osage,12/29/15,6:43:00 AM,Denver Health,7
Denver B-cycle,837561,80218,Annual (Denver B-cycle),500,12/29/15,6:21:00 AM,22nd & Pennsylvania,12/29/15,6:26:00 AM,17th & Franklin,5
Denver B-cycle,850612,80302,Monthly (Denver B-cycle),615,12/29/15,6:18:00 AM,Union Station Light Rail at 17th,12/29/15,6:29:00 AM,11th & Delaware,11
Denver B-cycle,933564,80205,Annual (Denver B-cycle),608,12/29/15,6:15:00 AM,Broadway & Walnut,12/29/15,6:23:00 AM,16th & Broadway,8
Denver B-cycle,965023,80504,Monthly (Denver B-cycle),795,12/29/15,5:11:00 AM,10th & Osage,12/29/15,5:21:00 AM,Webb Building,10
Denver B-cycle,1050155,,24-hour Kiosk Only (Denver B-cycle),302,12/28/15,11:39:00 PM,15th & Cleveland,12/28/15,11:55:00 PM,15th & Cleveland,16
Denver B-cycle,1050155,,24-hour Kiosk Only (Denver B-cycle),228,12/28/15,11:38:00 PM,15th & Cleveland,12/28/15,11:39:00 PM,15th & Cleveland,1
Denver B-cycle,967663,80205,Annual Plus (Denver B-cycle),296,12/28/15,11:35:00 PM,10th & Osage,12/28/15,11:58:00 PM,2045 Franklin,23
Denver B-cycle,459100,80202,Annual (Denver B-cycle),486,12/28/15,10:57:00 PM,14th & Elati,12/28/15,11:02:00 PM,11th & Broadway,5
Denver B-cycle,1020179,80203,Annual (Denver B-cycle),417,12/28/15,10:54:00 PM,13th & Pearl,12/28/15,10:59:00 PM,9th & Logan,5
Denver B-cycle,1050155,,24-hour Kiosk Only (Denver B-cycle),302,12/28/15,10:42:00 PM,Union Station Light Rail at 17th,12/28/15,10:54:00 PM,15th & Cleveland,12
Denver B-cycle,796860,80211,24-hour Kiosk Only (Denver B-cycle),794,12/28/15,10:38:00 PM,4th & Walnut,12/28/15,10:55:00 PM,19th & Market,17
Denver B-cycle,1050154,80238,24-hour Kiosk Only (Denver B-cycle),155,12/28/15,10:36:00 PM,4th & Walnut,12/28/15,10:51:00 PM,19th & Market,15
Denver B-cycle,1050153,80238,24-hour Kiosk Only (Denver B-cycle),354,12/28/15,10:35:00 PM,4th & Walnut,12/28/15,10:51:00 PM,19th & Market,16
Denver B-cycle,683488,80202,Annual (Denver B-cycle),715,12/28/15,10:35:00 PM,REI,12/28/15,10:41:00 PM,20th & Chestnut,6
Denver B-cycle,705029,80202,Annual (Denver B-cycle),818,12/28/15,10:35:00 PM,REI,12/28/15,10:42:00 PM,20th & Chestnut,7
Denver B-cycle,1050152,80246,24-hour Kiosk Only (Denver B-cycle),36,12/28/15,10:34:00 PM,4th & Walnut,12/28/15,10:51:00 PM,19th & Market,17
Denver B-cycle,344420,80202,Annual (Denver B-cycle),873,12/28/15,10:17:00 PM,REI,12/28/15,10:24:00 PM,20th & Chestnut,7
Denver B-cycle,974806,80202,Annual Plus (Denver B-cycle),607,12/28/15,10:17:00 PM,4th & Walnut,12/28/15,10:24:00 PM,15th & Curtis,7
Denver B-cycle,773373,80203,Annual (Denver B-cycle),682,12/28/15,9:48:00 PM,16th & Sherman,12/28/15,9:53:00 PM,13th & Pearl,5
Denver B-cycle,975403,80204,Annual Plus (Denver B-cycle),479,12/28/15,9:07:00 PM,17th & Larimer,12/28/15,9:18:00 PM,Decatur Federal Light Rail,11
Denver B-cycle,417348,80218,Annual Plus (Denver B-cycle),578,12/28/15,9:06:00 PM,1551 Lafayette,12/28/15,9:08:00 PM,17th & Franklin,2
Denver B-cycle,356421,80204,Annual (Denver B-cycle),781,12/28/15,8:13:00 PM,10th & Osage,12/28/15,8:18:00 PM,13th & Speer,5
Denver B-cycle,356420,80204,Annual (Denver B-cycle),600,12/28/15,8:13:00 PM,10th & Osage,12/28/15,8:18:00 PM,13th & Speer,5
Denver B-cycle,20075,80203,Annual Plus (Denver B-cycle),161,12/28/15,8:11:00 PM,23rd & Clay,12/28/15,8:21:00 PM,23rd & Clay,10
Denver B-cycle,247989,80204,Annual (Denver B-cycle),449,12/28/15,7:52:00 PM,1550 Glenarm,12/28/15,7:56:00 PM,13th & Speer,4
Denver B-cycle,27039,80218,Annual (Denver B-cycle),874,12/28/15,7:47:00 PM,Denver Public Library,12/28/15,7:58:00 PM,9th & Downing,11
Denver B-cycle,44288,80218,Annual (Denver B-cycle),636,12/28/15,7:46:00 PM,Denver Public Library,12/28/15,7:58:00 PM,9th & Downing,12
Denver B-cycle,811971,80205,Annual (Denver B-cycle),12,12/28/15,7:09:00 PM,Market Street Station,12/28/15,7:13:00 PM,22nd & Market,4
Denver B-cycle,1039652,80203,30-day Renewing (Denver B-cycle),240,12/28/15,7:07:00 PM,18th & California,12/28/15,7:11:00 PM,19th & Pearl,4
Denver B-cycle,975965,80232,Annual Plus (Denver B-cycle),249,12/28/15,7:03:00 PM,17th & Larimer,12/28/15,7:10:00 PM,13th & Speer,7
Denver B-cycle,973810,80204,Annual (Denver B-cycle),43,12/28/15,7:00:00 PM,18th & California,12/28/15,7:08:00 PM,13th & Speer,8
Denver B-cycle,389182,80203,Annual (Denver B-cycle),298,12/28/15,6:56:00 PM,9th & Logan,12/28/15,7:05:00 PM,16th & Broadway,9
Denver B-cycle,956195,90218,Annual Plus (Denver B-cycle),667,12/28/15,6:56:00 PM,13th & Marion,12/28/15,7:01:00 PM,13th & Pearl,5
Denver B-cycle,695031,80211,Annual (Denver B-cycle),68,12/28/15,6:48:00 PM,16th & Platte,12/28/15,7:01:00 PM,16th & Little Raven,13
Denver B-cycle,344420,80202,Annual (Denver B-cycle),643,12/28/15,6:46:00 PM,20th & Chestnut,12/28/15,6:58:00 PM,23rd & Clay,12
Denver B-cycle,1012646,80202,Annual (Denver B-cycle),129,12/28/15,6:38:00 PM,10th & Osage,12/28/15,6:44:00 PM,11th & Delaware,6
Denver B-cycle,384284,80203,Annual (Denver B-cycle),785,12/28/15,6:26:00 PM,14th & Welton,12/28/15,6:33:00 PM,22nd & Pennsylvania,7
Denver B-cycle,974373,80110,Annual (Denver B-cycle),481,12/28/15,6:25:00 PM,15th & Cleveland,12/28/15,6:29:00 PM,13th & Speer,4
Denver B-cycle,841602,80203,Annual (Denver B-cycle),439,12/28/15,6:22:00 PM,15th & Cleveland,12/28/15,6:32:00 PM,9th & Logan,10
Denver B-cycle,967663,80205,Annual Plus (Denver B-cycle),19,12/28/15,6:20:00 PM,Park Ave West & Tremont,12/28/15,6:51:00 PM,10th & Osage,31
Denver B-cycle,967663,80205,Annual Plus (Denver B-cycle),204,12/28/15,6:13:00 PM,2045 Franklin,12/28/15,6:19:00 PM,Park Ave West & Tremont,6
Denver B-cycle,1044484,80503,Annual (Denver B-cycle),709,12/28/15,6:07:00 PM,11th & Delaware,12/28/15,6:18:00 PM,17th & Blake,11
Denver B-cycle,206641,80203,Annual (Denver B-cycle),616,12/28/15,6:07:00 PM,16th & Sherman,12/28/15,6:15:00 PM,7th & Grant,8
Denver B-cycle,837561,80218,Annual (Denver B-cycle),930,12/28/15,6:07:00 PM,17th & Franklin,12/28/15,6:12:00 PM,17th & Pearl,5
Denver B-cycle,37366,80128,Annual (Denver B-cycle),673,12/28/15,6:06:00 PM,7th & Grant,12/28/15,6:10:00 PM,11th & Broadway,4
Denver B-cycle,726204,80202,Annual (Denver B-cycle),297,12/28/15,6:05:00 PM,17th & Larimer,12/28/15,6:13:00 PM,20th & Chestnut,8
Denver B-cycle,35322,80205,Annual Plus (Denver B-cycle),682,12/28/15,6:02:00 PM,Park Ave West & Tremont,12/28/15,6:08:00 PM,16th & Sherman,6
Denver B-cycle,27039,80218,Annual (Denver B-cycle),716,12/28/15,5:57:00 PM,18th & California,12/28/15,6:03:00 PM,Denver Public Library,6
Denver B-cycle,592083,80202,Annual (Denver B-cycle),562,12/28/15,5:56:00 PM,15th & Delgany,12/28/15,6:16:00 PM,15th & Delgany,20
Denver B-cycle,511551,80202,Annual Plus (Denver B-cycle),471,12/28/15,5:53:00 PM,2045 Franklin,12/28/15,6:03:00 PM,14th & Stout,10
Denver B-cycle,810276,80218,Annual (Denver B-cycle),105,12/28/15,5:50:00 PM,14th & Ogden,12/28/15,6:17:00 PM,REI,27
Denver B-cycle,44288,80218,Annual (Denver B-cycle),636,12/28/15,5:41:00 PM,9th & Downing,12/28/15,6:01:00 PM,Denver Public Library,20
Denver B-cycle,827972,80202,30-day Renewing (Denver B-cycle),679,12/28/15,5:37:00 PM,16th & Broadway,12/28/15,5:48:00 PM,20th & Chestnut,11
Denver B-cycle,620546,80202,Annual Plus (Denver B-cycle),643,12/28/15,5:34:00 PM,18th & Arapahoe,12/28/15,5:39:00 PM,20th & Chestnut,5
Denver B-cycle,109265,80226,Annual (Denver B-cycle),216,12/28/15,5:33:00 PM,Webb Building,12/28/15,5:35:00 PM,Denver Public Library,2
Denver B-cycle,681797,80202,Annual (Denver B-cycle),67,12/28/15,5:28:00 PM,22nd & Market,12/28/15,6:16:00 PM,Broncos Bike Valet,48
Denver B-cycle,493039,80209,Annual (Denver B-cycle),632,12/28/15,5:26:00 PM,Denver Public Library,12/28/15,5:42:00 PM,1st & Broadway,16
Denver B-cycle,31832,80202,Annual (Denver B-cycle),778,12/28/15,5:23:00 PM,14th & Welton,12/28/15,5:29:00 PM,1350 Larimer,6
Denver B-cycle,924021,80209,Annual Plus (Denver B-cycle),163,12/28/15,5:23:00 PM,28th & Larimer,12/28/15,5:27:00 PM,Five Points,4
Denver B-cycle,1031776,80218,30-day Renewing (Denver B-cycle),92,12/28/15,5:21:00 PM,Bayaud & Pennsylvania,12/28/15,5:45:00 PM,Bayaud & Emerson,24
Denver B-cycle,974806,80202,Annual Plus (Denver B-cycle),779,12/28/15,5:21:00 PM,15th & Curtis,12/28/15,5:36:00 PM,Decatur Federal Light Rail,15
Denver B-cycle,31832,80202,Annual (Denver B-cycle),778,12/28/15,5:17:00 PM,16th & Broadway,12/28/15,5:21:00 PM,14th & Welton,4
Denver B-cycle,661757,80202,Annual (Denver B-cycle),773,12/28/15,5:16:00 PM,1350 Larimer,12/28/15,5:26:00 PM,4th & Walnut,10
Denver B-cycle,313863,80205,Annual Plus (Denver B-cycle),271,12/28/15,5:16:00 PM,25th & Lawrence,12/28/15,6:03:00 PM,25th & Lawrence,47
Denver B-cycle,485948,80202,Annual Plus (Denver B-cycle),580,12/28/15,5:13:00 PM,17th & Larimer,12/28/15,6:18:00 PM,Broncos Bike Valet,65
Denver B-cycle,485938,80202,Annual Plus (Denver B-cycle),607,12/28/15,5:12:00 PM,17th & Larimer,12/28/15,6:18:00 PM,Broncos Bike Valet,66
Denver B-cycle,485948,80202,Annual Plus (Denver B-cycle),580,12/28/15,5:12:00 PM,17th & Larimer,12/28/15,5:13:00 PM,17th & Larimer,1
Denver B-cycle,728650,80202,Annual Plus (Denver B-cycle),775,12/28/15,5:11:00 PM,13th & Pearl,12/28/15,5:43:00 PM,12th & Sherman,32
Denver B-cycle,263874,80206,30-day Renewing (Denver B-cycle),79,12/28/15,5:10:00 PM,18th & Arapahoe,12/28/15,5:16:00 PM,22nd & Pennsylvania,6
Denver B-cycle,1050002,80205,30-day Renewing (Denver B-cycle),240,12/28/15,5:08:00 PM,Denver Public Library,12/28/15,5:25:00 PM,18th & California,17
Denver B-cycle,646258,80203,Annual (Denver B-cycle),616,12/28/15,5:03:00 PM,7th & Grant,12/28/15,5:14:00 PM,16th & Sherman,11
Denver B-cycle,923761,80015,Annual (Denver B-cycle),797,12/28/15,5:02:00 PM,16th & Broadway,12/28/15,5:12:00 PM,9th & Santa Fe,10
Denver B-cycle,956249,80218,Annual Plus (Denver B-cycle),238,12/28/15,5:01:00 PM,9th & Downing,12/28/15,5:22:00 PM,22nd & Pennsylvania,21
Denver B-cycle,252752,80203,Annual (Denver B-cycle),690,12/28/15,4:58:00 PM,1550 Glenarm,12/28/15,5:03:00 PM,11th & Broadway,5
Denver B-cycle,1050114,80903,24-hour Kiosk Only (Denver B-cycle),548,12/28/15,4:57:00 PM,23rd & Clay,12/28/15,5:08:00 PM,16th & Little Raven,11
Denver B-cycle,672572,80205,Annual (Denver B-cycle),753,12/28/15,4:57:00 PM,Market Street Station,12/28/15,5:11:00 PM,Park Ave West & Tremont,14
Denver B-cycle,946520,80227,Annual (Denver B-cycle),72,12/28/15,4:56:00 PM,15th & Cleveland,12/28/15,5:05:00 PM,9th & Logan,9
Denver B-cycle,207456,80205,Annual (Denver B-cycle),358,12/28/15,4:55:00 PM,22nd & Market,12/28/15,5:01:00 PM,17th & Blake,6
Denver B-cycle,974806,80202,Annual Plus (Denver B-cycle),779,12/28/15,4:55:00 PM,16th & Platte,12/28/15,5:03:00 PM,15th & Curtis,8
Denver B-cycle,985824,80209,30-day Renewing (Denver B-cycle),38,12/28/15,4:45:00 PM,1450 Wazee,12/28/15,5:02:00 PM,Bayaud & Pennsylvania,17
Denver B-cycle,384284,80203,Annual (Denver B-cycle),739,12/28/15,4:44:00 PM,15th & Curtis,12/28/15,4:47:00 PM,14th & Welton,3
Denver B-cycle,1047853,80201,Annual Plus (Denver B-cycle),284,12/28/15,4:41:00 PM,6th & Clarkson,12/28/15,4:57:00 PM,1st & Broadway,16
Denver B-cycle,257970,80202,Annual Plus (Denver B-cycle),685,12/28/15,4:40:00 PM,19th & Wynkoop,12/28/15,4:46:00 PM,20th & Chestnut,6
Denver B-cycle,728650,80202,Annual Plus (Denver B-cycle),775,12/28/15,4:38:00 PM,13th & Pearl,12/28/15,5:10:00 PM,13th & Pearl,32
Denver B-cycle,393473,80203,Annual (Denver B-cycle),567,12/28/15,4:36:00 PM,9th & Curtis,12/28/15,4:42:00 PM,4th & Walnut,6
Denver B-cycle,697586,80021,Annual (Denver B-cycle),144,12/28/15,4:35:00 PM,Webb Building,12/28/15,4:42:00 PM,15th & Delgany,7
Denver B-cycle,1049917,91354,24-hour Kiosk Only (Denver B-cycle),713,12/28/15,4:33:00 PM,11th & Emerson,12/28/15,4:55:00 PM,18th & California,22
Denver B-cycle,1049917,91354,24-hour Kiosk Only (Denver B-cycle),774,12/28/15,4:33:00 PM,11th & Emerson,12/28/15,4:56:00 PM,18th & California,23
Denver B-cycle,1049917,91354,24-hour Kiosk Only (Denver B-cycle),134,12/28/15,4:33:00 PM,11th & Emerson,12/28/15,4:55:00 PM,18th & California,22
Denver B-cycle,143369,80202,Annual (Denver B-cycle),924,12/28/15,4:33:00 PM,Webb Building,12/28/15,4:48:00 PM,20th & Chestnut,15
Denver B-cycle,763054,80005,Annual (Denver B-cycle),6,12/28/15,4:32:00 PM,Webb Building,12/28/15,4:41:00 PM,15th & Delgany,9
Denver B-cycle,705029,80202,Annual (Denver B-cycle),94,12/28/15,4:32:00 PM,20th & Chestnut,12/28/15,4:38:00 PM,16th & Platte,6
Denver B-cycle,683488,80202,Annual (Denver B-cycle),728,12/28/15,4:32:00 PM,20th & Chestnut,12/28/15,4:38:00 PM,16th & Platte,6
Denver B-cycle,69355,80301,Annual Plus (Denver B-cycle),16,12/28/15,4:30:00 PM,DU Driscoll Center,12/28/15,4:57:00 PM,14th & Stout,27
Denver B-cycle,887322,80204,Annual Plus (Denver B-cycle),352,12/28/15,4:30:00 PM,18th & California,12/28/15,4:43:00 PM,13th & Speer,13
Denver B-cycle,887323,80204,Annual Plus (Denver B-cycle),513,12/28/15,4:30:00 PM,18th & California,12/28/15,4:43:00 PM,13th & Speer,13
Denver B-cycle,933564,80205,Annual (Denver B-cycle),608,12/28/15,4:25:00 PM,16th & Broadway,12/28/15,4:34:00 PM,Broadway & Walnut,9
Denver B-cycle,432848,80204,Annual (Denver B-cycle),31,12/28/15,4:22:00 PM,Webb Building,12/28/15,4:26:00 PM,13th & Speer,4
Denver B-cycle,356421,80204,Annual (Denver B-cycle),742,12/28/15,4:18:00 PM,13th & Speer,12/28/15,4:24:00 PM,10th & Osage,6
Denver B-cycle,393473,80203,Annual (Denver B-cycle),599,12/28/15,4:18:00 PM,6th & Clarkson,12/28/15,4:36:00 PM,9th & Curtis,18
Denver B-cycle,804421,80218,Annual (Denver B-cycle),761,12/28/15,4:17:00 PM,11th & Emerson,12/28/15,4:29:00 PM,11th & Emerson,12
Denver B-cycle,957764,80203,30-day Renewing (Denver B-cycle),713,12/28/15,4:16:00 PM,9th & Logan,12/28/15,4:20:00 PM,11th & Emerson,4
Denver B-cycle,330306,80227,Annual (Denver B-cycle),266,12/28/15,4:16:00 PM,1550 Glenarm,12/28/15,4:24:00 PM,Pepsi Center,8
Denver B-cycle,887319,80204,Annual Plus (Denver B-cycle),18,12/28/15,4:16:00 PM,Five Points,12/28/15,4:24:00 PM,18th & California,8
Denver B-cycle,887322,80204,Annual Plus (Denver B-cycle),513,12/28/15,4:15:00 PM,Five Points,12/28/15,4:24:00 PM,18th & California,9
Denver B-cycle,1029402,80205,Annual (Denver B-cycle),751,12/28/15,4:14:00 PM,Broadway & Walnut,12/28/15,4:30:00 PM,Union Station Light Rail at 17th,16
Denver B-cycle,459100,80202,Annual (Denver B-cycle),368,12/28/15,4:13:00 PM,11th & Broadway,12/28/15,4:30:00 PM,16th & Platte,17
Denver B-cycle,215085,80439,Annual (Denver B-cycle),608,12/28/15,4:13:00 PM,2045 Franklin,12/28/15,4:23:00 PM,16th & Broadway,10
Denver B-cycle,875765,80203,Annual Plus (Denver B-cycle),504,12/28/15,4:12:00 PM,3rd & Milwaukee,12/28/15,4:26:00 PM,11th & Emerson,14
Denver B-cycle,1047853,80201,Annual Plus (Denver B-cycle),284,12/28/15,4:10:00 PM,9th & Logan,12/28/15,4:41:00 PM,6th & Clarkson,31
Denver B-cycle,558463,80203,Annual (Denver B-cycle),617,12/28/15,4:08:00 PM,3rd & Milwaukee,12/28/15,4:21:00 PM,9th & Downing,13
Denver B-cycle,424941,80211,Annual (Denver B-cycle),568,12/28/15,4:06:00 PM,17th & Tejon,12/28/15,4:29:00 PM,7th & Grant,23
Denver B-cycle,83098,80020,Annual (Denver B-cycle),385,12/28/15,4:06:00 PM,18th & Arapahoe,12/28/15,4:09:00 PM,17th & Blake,3
Denver B-cycle,62470,80218,Annual (Denver B-cycle),652,12/28/15,4:05:00 PM,18th & California,12/28/15,4:16:00 PM,13th & Marion,11
